gene_id,MEF,Naive_CD4T,Naive_CD8T,mESCJ1,DP,Th2,Th2a,RAVCrep1,RAVCrep2
Xkr4,0.122,0,0,0.087,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0
Sox17,0,0,0,0.193,0,0,0,0,0
Mrpl15,27.748,7.628,3.894,200.442,31.486,30.879,39.456,30.361,30.361
Lypla1,91.872,15.568,10.589,410.415,65.955,67.436,32.124,106.508,106.508
Tcea1,29.358,5.902,2.614,243.28,14.127,55.407,8.184,101.747,101.747
Rgs20,0.648,0.023,0,2.896,0.33,0,0,0.03,0.03
Atp6v1h,114.018,27.612,15.212,120.508,62.533,67.936,30.598,60.76,60.76
Oprk1,0,0,0,0.588,0,0,0,0,0
Npbwr1,0,0,0.011,0,0,0,0,0,0
Rb1cc1,116.985,14.553,6.855,17.65,37.898,10.071,4.897,24.88,24.88
Fam150a,14.655,0,0,0,0,0,0,0,0
St18,0.024,0,0,0.026,0.067,0,0,0,0
Pcmtd1,15.127,13.452,6.409,16.451,27.342,6.738,2.762,27.053,27.053
Sntg1,0.896,0,0,0.054,0,0,0,0,0
Rrs1,85.884,8.909,6.37,125.388,37.051,56.278,15.697,42.506,42.506
Adhfe1,0.141,0.258,0.365,1.26,0.132,0.144,0,0.048,0.048
2610203C22Rik,0.713,0.742,0,0,0,0,0,0,0
3110035E14Rik,0,0,0,0,0,0,0,0,0
Mybl1,28.108,0.127,0.016,4.159,7.321,4.172,0.769,1.907,1.907
Vcpip1,22.882,9.351,7.312,14.696,37.258,13.538,5.869,18.788,18.788
1700034P13Rik,0.297,0,0,0.582,0.278,0,0,0,0
Sgk3,6.159,7.531,3.042,9.164,24.495,2.976,0.682,83.921,83.921
Mcmdc2,0,0.611,0.192,0.527,1.299,0.177,0,0.088,0.088
Snhg6,131.939,47.949,34.665,97.382,194.588,290.961,92.032,56.828,56.828
Snord87,9.995,1867.111,3418.065,11.76,11.207,42.756,15.942,2.023,2.023
Tcf24,0.513,0,0,2.049,0,0,0,2.358,2.358
Ppp1r42,0,0,0,0,0.288,0.313,0,0,0
Cops5,144.359,14.874,11.688,240.29,128.28,115.661,119.06,77.046,77.046
Cspp1,16.58,7.081,2.827,19.569,58.283,19.309,7.587,8.269,8.269
Arfgef1,70.08,10.692,4.599,29.546,72.13,39.474,14.491,57.377,57.377
Cpa6,6.329,0,0,0.041,0,0,0,0,0
Mir467e,0,0,0,0,0,0,0,0,0
Prex2,2.301,0.072,0,6.506,0.074,0,0,0.007,0.007
A830018L16Rik,0.018,0,0,1.698,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0
Sulf1,157.33,0,0,57.593,0,0,0,0,0
Slco5a1,1.634,0.007,0,1.19,0,0.159,0,0,0
Prdm14,0,0,0.032,15.285,0.16,0,0,0,0
Ncoa2,26.045,31.595,10.865,12.302,63.653,19.218,13.06,46.411,46.411
Tram1,186.184,72.962,35.851,106.933,180.483,142.677,62.334,195.966,195.966
Lactb2,44.372,6.089,4.009,115.585,13.624,29.941,20.475,22.61,22.61
Xkr9,0,0,0,0.082,0,0,0,0,0
Gm5523,0.119,0,0.033,0.89,1.998,1.452,3.79,0.721,0.721
Eya1,25.126,0,0,3.496,0,0,0,0,0
Msc,0,0,0.095,6.22,0,0.79,6.012,0,0
Trpa1,0,0,0.01,2.208,0,0,0,0.018,0.018
Kcnb2,1.059,0,0,0,0,0,0,0,0
Terf1,31.308,5.015,3.354,183.825,50.459,33.68,16.515,17.624,17.624
Sbspon,1.83,0.798,0.193,0.374,2.112,0,0,0.027,0.027
4930444P10Rik,0,0,0,0,0.225,0,0,0,0
Rpl7,662.761,1249.807,831.711,5947.237,437.755,3959.388,1721.251,4652.011,4652.011
Rdh10,13.536,3.723,2.602,3.723,20.597,32.693,6.169,10.469,10.469
Stau2,17.301,0.1,0,8.486,0.143,3.91,1.225,0.414,0.414
Ube2w,37.753,2.706,1.539,14.234,12.958,8.025,8.658,8.541,8.541
Tceb1,307.637,14.57,14.26,293.498,166.292,228.124,232.861,118.194,118.194
D030040B21Rik,0.053,0,0,0,0.149,0,0,0,0
Tmem70,127.092,8.101,7.202,48.417,37.586,36.274,45.977,45.075,45.075
Ly96,11.776,0.287,1.017,1.968,10.315,4.497,14.673,2.11,2.11
Jph1,8.155,0,0,4.098,0,0,0,0,0
Gdap1,0.15,0,0,0.141,0,0,0,0,0
Pi15,2.543,0,0,0.034,0,0,0,0,0
Gm16070,0,0,0,0.035,0,0,0,0,0
Crispld1,0.222,0,0,2.469,0,0,0,0,0
Crisp4,0,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0,0
Tfap2b,0.637,0,0,0.012,0,0,0,0,0
Pkhd1,0.057,0,0,0.294,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0,0,0,0
Linc-md1,0,0,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0
Il17a,0,0,0,0,0,1.158,1.007,0,0
Il17f,0,0.049,0.035,1.209,0,2.302,0.25,0,0
Mcm3,116.869,29.649,22.559,657.971,329.59,272.509,328.15,149.132,149.132
6720483E21Rik,0.132,0,0,0.071,0,0,0.263,0,0
Paqr8,15.061,3.24,1.092,7.124,1.126,2.045,0.867,7.299,7.299
Efhc1,3.082,0.314,0.148,2.401,1.878,0.409,0.267,0.136,0.136
Tram2,47.466,1.62,0.677,7.456,16.407,2.276,0.849,4.254,4.254
Tmem14a,3.942,0.855,0.394,4.158,3.069,1.338,4.148,2.493,2.493
Gsta3,0.735,0,0.102,6.584,0.258,0,0,0.046,0.046
Gm4956,0,0.956,0.071,0,0,0.787,3.083,0.522,0.522
Khdc1a,0,0,0,0.122,0.638,0,0,0.115,0.115
Khdc1c,0,0,0,0,0,0,0,0,0
Khdc1b,0,0.026,0,0,0,0,0,0,0
Kcnq5,4.938,0.182,0.228,0.17,2.851,3.885,1.31,1.501,1.501
Rims1,0.618,0,0,1.79,0,0,0,0,0
4933415F23Rik,0,0,0,0,0.233,0,0,0,0
Mir30a,0,0,0.576,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0,0
Ogfrl1,14.628,0.191,0.245,6.386,0.77,1.306,0.609,7.139,7.139
B3gat2,0.781,0.848,0.338,0.163,1.333,0.415,0.406,0.12,0.12
Smap1,45.379,6.086,2.625,31.35,31.519,29.318,20.327,22.759,22.759
Sdhaf4,21.735,12.292,9.136,50.764,21.136,18.974,53.062,25.699,25.699
Fam135a,22.486,0,0,10.19,0.192,1.258,0.182,0.012,0.012
Col9a1,0.071,0.014,0,0.248,0,0,0,0,0
Col19a1,1.614,0,0.004,0,0,0,0,0,0
Lmbrd1,27.902,7.624,3.307,7.864,20.455,16.933,20.621,18.06,18.06
Adgrb3,0,0,0,0.029,0,0,0,0,0
Gm20172,0,0,0,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0,0,0,0
Gm597,0,0,0,0.027,0,0,0.102,0,0
Mir6342,0,0,0,0,0,0,0,0,0
Phf3,55.722,21.633,9.216,57.568,100.302,25.346,8.855,39.539,39.539
Ptp4a1,8.67,0.559,0.386,2.797,3.414,2.518,2.286,0.925,0.925
Gm13363,0,0,0,0,0,0,0,0,0
4931428L18Rik,0,0,0,0.072,0,0,0,0,0
Lgsn,0,0,0,0,0,0,0,0,0
Pih1d3,0,0,0,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0,0,0,0
Khdrbs2,0.109,0,0,0.058,0,0,0.217,0,0
Gm9839,0,0,0,0,0,0,0,0,0
Gm5415,0,0,0,0,0.111,0,0,0,0
Prim2,51.132,8.444,2.918,76.469,81.628,46.663,64.778,28.031,28.031
1700001G17Rik,0.333,1.494,1.38,0.089,2.332,2.034,0.332,0.674,0.674
Rab23,53.08,0.682,0.237,45.823,4.343,2.72,3.812,5.288,5.288
Bag2,170.998,0.223,0.496,19.178,12.793,14.942,11.212,6.351,6.351
Zfp451,21.628,7.456,4.396,42.2,43.624,16.858,7.42,14.749,14.749
Gm15455,0,0.153,0.108,0.42,1.375,0,0.098,1.117,1.117
Bend6,4.453,0.353,0.161,2.175,0.362,0,0.772,0.784,0.784
Dst,101.35,0.625,0.106,7.613,5.183,1.25,0.354,4.009,4.009
Mir6896,0,0,0,0,0,0,0,0,0
Mir5103,1.873,6.578,0.518,2.003,5.249,0,3.733,0,0
Ccdc115,19.175,20.047,7.699,39.44,23.347,76.348,79.226,39.16,39.16
Imp4,64.856,33.939,21.275,196.81,83.519,74.36,142.419,59.242,59.242
Ptpn18,0.47,41.11,39.907,2.263,104.386,125.856,259.311,206.757,206.757
Prss39,0,0,0,0.317,0.666,0,0.237,0,0
Cfc1,0,0,0,0.762,0,0,0,0,0
Prss40,0,0,0,0,0,0,0,0,0
Amer3,0,0,0,0.127,0.095,0,0,0,0
AA619741,0,0,0,0,0,0,0,0,0
Arhgef4,1.036,15.785,6.63,1.866,18.181,3.83,11.085,11.997,11.997
Fam168b,145.952,96.79,35.759,60.065,307.229,78.653,33.79,131.314,131.314
Plekhb2,83.42,9.248,4.681,12.513,36.923,28.761,31.71,38.144,38.144
Hs6st1,63.524,8.71,5.047,48.99,244.952,11.303,9.279,21.475,21.475
Uggt1,100.484,33.495,15.572,48.979,81.239,44.603,28.19,39.187,39.187
Mir6897,0,4.656,3.958,0,0,0,4.757,0,0
Neurl3,0.63,24.231,37.602,0.398,0.161,34.122,62.458,18.691,18.691
Arid5a,6.332,39.422,20.631,2.403,20.539,155.162,79.563,23.887,23.887
Kansl3,48.19,27.08,12.076,31.013,128.938,26.656,21.758,35.491,35.491
Mir6898,0,1.5,0,0,0,0,0,0,0
Fer1l5,1.241,0.868,0.388,2.154,20.017,0.572,0.187,2.014,2.014
Lman2l,32.379,2.725,2.022,21.156,143.868,22.142,19.088,17.83,17.83
Cnnm4,18.37,4.738,2.49,9.496,30.316,7.793,5.471,6.061,6.061
Cnnm3,5.124,7.082,3.63,28.931,38.929,4.192,10.942,15.33,15.33
Ankrd23,5.3,16.458,7.304,0.81,38.409,11.103,9.509,2.873,2.873
Ankrd39,10.188,15.938,6.457,7.132,39.7,13.919,25.596,9.639,9.639
Sema4c,10.306,0,0.029,6.82,3.188,4.212,0,0.767,0.767
Fam178b,0.058,0,0,24.974,0.161,0,0.23,0,0
Cox5b,105.294,74.278,57.57,626.493,213.517,480.586,418.82,408.064,408.064
Actr1b,177.347,36.416,22.19,200.12,176.279,73.119,73.983,64.22,64.22
4933424G06Rik,0,0,0,0,0,1.203,0,0,0
Zap70,0.054,98.818,66.445,2.151,292.888,220.098,410.699,106.871,106.871
Tmem131,91.271,7.398,3.216,100.254,166.985,26.092,27.386,92.272,92.272
Cnga3,0.039,0,0.064,4.79,0.325,0,0,0,0
Inpp4a,9.066,7.613,3.19,1.175,10.129,11.235,3.244,9.998,9.998
Coa5,126.443,22.679,12.749,100.989,60.339,52.549,54.833,73.359,73.359
Unc50,55.736,22.899,11.643,51.265,61.375,44.175,97.755,38.274,38.274
Mgat4a,2.469,8.504,5.234,4.986,63.189,14.212,4.474,13.812,13.812
4930594C11Rik,0.054,0.901,0.356,0,8.278,0.82,0,0.163,0.163
2010300C02Rik,0.305,0.49,0.281,0.472,8.557,0.311,0.135,3.81,3.81
Tsga10,0.99,0.4,0.342,0.946,4.462,0.432,0.071,0.537,0.537
Lipt1,11.511,4.233,2.025,12.871,10.133,2.907,5.88,4.621,4.621
Mitd1,15.768,32.51,20.231,66.752,67.814,39.719,59.995,42.328,42.328
Mrpl30,158.636,56.819,51.666,275.114,185.42,234.171,396.521,217.621,217.621
Lyg2,0,0.068,0,0,0.162,0,0,0,0
Lyg1,0,0,0,0,0,0,0,0,0
Txndc9,38.785,9.887,4.609,61.537,26.524,24.488,25.476,30.52,30.52
Eif5b,93.062,7.309,5.261,86.295,55.626,90.143,33.061,28.138,28.138
Rev1,12.287,8.169,3.176,27.657,26.754,20.574,3.045,6.744,6.744
Aff3,17.301,15.91,8.623,8.216,104.248,2.369,4.108,21.905,21.905
Lonrf2,3.38,0,0,0.374,0,0,0,0,0
Chst10,2.798,9.848,3.475,21.839,65.141,5.072,4.823,20.303,20.303
Nms,0,0,0,0,0,0,0,0,0
Pdcl3,223.025,20.916,7.982,119.038,76.804,60.936,65.349,63.531,63.531
Mir6349,0,0,0,0,0,0,0,0,0
Npas2,0.495,0,0,0.151,3.174,1.298,0.141,12.965,12.965
Rpl31,13.459,95.246,54.016,1095.117,13.899,356.036,17.418,1055.624,1055.624
Tbc1d8,1,3.915,1.271,4.58,13.264,0.407,1.661,0.354,0.354
Cnot11,39.016,14.279,5.851,78.012,48.589,23.413,29.158,36.385,36.385
Snord89,1.574,33559.708,36627.305,1.683,0,0,0,4.778,4.778
Rnf149,76.64,12.169,11.24,57.887,26.064,31.94,15.51,42.654,42.654
Creg2,0,0,0.014,0.041,0.072,0,0,0,0
Rfx8,0.074,0.115,0.041,0.079,0.207,0.226,0,0,0
Gm3646,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0.077,0.149,0,0,0,0,0
Map4k4,198.324,62.473,34.228,153.19,238.001,75.735,60.034,76.969,76.969
Gm16894,0,0,0,0,0.483,2.634,3.437,0,0
Il1r2,0.44,0,0,2.649,0,139.565,718.249,0,0
Il1r1,20.185,0.023,0.008,1.068,0,0.449,0.234,0,0
Il1rl2,10.317,7.017,1.929,2.028,11.908,1.159,0,0.653,0.653
Il1rl1,42.695,0,0.012,1.304,0,0,54.116,0.053,0.053
Il18r1,0.031,11.738,6.518,0,0.347,0.095,2.159,8.689,8.689
Il18rap,5.144,0.177,1.573,0.113,0,1.387,10.798,4.532,4.532
Slc9a4,0,0,0,0,0.108,0,0,0,0
Slc9a2,0.762,0,0,0.023,0,0,0,0.021,0.021
Mfsd9,2.722,1.704,0.623,3.037,1.579,0.86,0.468,1.306,1.306
Tmem182,0.135,0,0,0,0,0,0,0,0
4930448I06Rik,0,0,0,0,0,0,0,0,0
Pantr1,0.271,0,0,0.145,0,0,0,0,0
Pou3f3,1.642,0,0,0.232,0.677,0,0,0,0
2900092D14Rik,0.156,0,0,0,0,0,0,0,0
Pantr2,0,0,0,0,0,0,0,0,0
Dalir,0,0,0,0,0,0,0,0,0
Mrps9,52.647,19.816,13.459,132.521,106.364,113.395,100.598,59.87,59.87
Gpr45,0.038,0,0,0,0,0.117,0,0,0
Tgfbrap1,30.719,7.934,3.013,8.4,28.676,7.264,10.971,19.895,19.895
AI597479,18.828,8.15,3.371,40.986,24.828,12.421,10.92,14.572,14.572
Fhl2,317.3,0.207,0.512,2.453,2.473,14.285,39.043,5.178,5.178
Nck2,30.279,21.056,6.617,13.256,117.296,18.242,0.425,18.099,18.099
1500015O10Rik,2.166,0.325,0.368,1.069,0.934,0.509,0,0,0
Uxs1,42.869,7.497,3.303,38.71,26.592,32.924,7.706,37.337,37.337
Tpp2,136.795,29.235,13.353,130.74,83.928,90.709,45.931,85.719,85.719
Mettl21c,0.272,1.595,0.866,0.219,0.382,0.416,0,0.138,0.138
Tex30,42.801,4.838,3.944,101.938,69.49,68.602,62.485,38.461,38.461
Kdelc1,56.843,1.764,1.126,42.313,20.34,14.976,11.041,4.348,4.348
Bivm,20.837,1.229,1.477,29.908,9.521,7.974,5.534,9.642,9.642
Ercc5,33.46,14.773,5.752,20.518,37.639,15.217,14.416,15.661,15.661
Mettl21e,0,0,0,0.05,0,0,0,0,0
Gulp1,52.84,0,0,2.738,0,0,0.099,0,0
4930521E06Rik,0.653,0,0,0,0,0,0,0,0
Col3a1,683.002,0,0,0.355,0,0,0,0,0
Col5a2,1272.796,0,0,4.545,0.063,0,0,0.6,0.6
Wdr75,94.185,23.475,12.964,320.745,45.401,70.256,44.376,41.352,41.352
Slc40a1,3.37,0.051,0.048,6.834,0.245,0,0,0,0
Stk-ps2,0,0,0,0,0,0,0,0,0
Dnah7b,0.144,0.005,0,0.09,0,0.037,0,0.602,0.602
Slc39a10,44.043,12.104,5.251,153.135,16.215,18.222,3.924,24.925,24.925
Mir6350,0,0,0,0,0,0,0,0,0
Tmeff2,18.696,0,0,0.45,0,0,0,0,0
9330175M20Rik,0.116,0,0,0,0,0,0,0,0
Sdpr,796.024,0,0,2.098,0,0,0,0,0
Nabp1,75.843,24.291,11.009,91.683,273.947,153.052,162.433,67.809,67.809
Myo1b,67.716,0,0.008,47.971,0,0,0,0,0
Stat4,0,49.254,35.691,16.872,35.661,27.971,26.302,98.962,98.962
Stat1,8.369,179.627,89.09,11.58,58.295,83.208,80.783,80.008,80.008
Gls,154.413,22.973,13.442,19.971,70.391,35.196,12.882,45.879,45.879
Nab1,42.798,18.531,10.401,7.945,21.27,46.727,30.433,35.925,35.925
Tmem194b,2.223,16.961,7.446,10.07,38.361,16.78,28.416,13.762,13.762
Mfsd6,3.467,11.486,2.67,0.41,16.245,14.473,17.253,11.797,11.797
Inpp1,17.428,30.008,18.511,6.199,34.359,23.185,26.933,28.86,28.86
Hibch,21.79,14.875,4.248,44.105,24.334,21.22,21.809,30.705,30.705
1700019D03Rik,0,0.138,0,38.038,0.497,0.542,0,0.269,0.269
Mstn,0,0,0,0,0,0,0,0.084,0.084
1700019A02Rik,0.236,0.184,0,7.444,0.661,0,0,0,0
Pms1,8.3,5.659,4.926,40.208,17.927,8.503,3.504,10.45,10.45
Ormdl1,22.278,13.668,6.845,47.698,48.293,24.24,26.202,48.171,48.171
Osgepl1,8.966,4.596,2.247,27.874,17.463,13.232,12.876,7.151,7.151
Asnsd1,82.871,19.908,10.048,179.085,35.148,38.684,74.761,47.265,47.265
Dnah7a,0,0.005,0,0.193,0.034,0,0,26.88,26.88
Stk17b,37.096,189.294,116.286,32.195,95.376,119.685,153.316,197.084,197.084
Hecw2,1.201,0.097,0.036,2.883,0.512,0.279,0.182,0.132,0.132
Mir7681,0,0,0,0,0,0,0,0,0
Ccdc150,0.039,0.061,0.021,0.208,0.218,0.237,0,0.02,0.02
Gtf3c3,27.322,15.448,9.472,91.485,24.285,16.696,6.38,18.308,18.308
Pgap1,4.069,4.426,1.434,7.665,3.018,0.684,0.697,1.465,1.465
Ankrd44,15.444,76.564,38.424,0.644,107.308,45.567,45.393,106.937,106.937
Sf3b1,175.148,241.424,122.236,227.609,494.145,251.292,166.976,146.946,146.946
Coq10b,122.921,3.598,3.233,31.361,8.135,6.26,8.68,12.05,12.05
Hspd1,294.722,36.371,22.114,2103.432,75.746,273.675,66.272,211.715,211.715
Hspe1,98.621,23.306,21.885,1139.076,61.009,440.807,198.928,254.865,254.865
Mob4,83.127,13.627,6.917,71.525,69.108,39.345,39.763,38.512,38.512
Rftn2,5.674,2.199,1.124,0.323,1.128,0.246,1.685,1.792,1.792
Mars2,13.808,12.982,5.193,14.109,21.869,12.86,5.936,11.064,11.064
Boll,0,2.616,0.845,4.465,1.648,0.719,0,0.476,0.476
Plcl1,11.803,0.291,0.075,0.072,19.609,9.653,5.219,1.347,1.347
9130227L01Rik,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0
Hsfy2,0,0,0,0,0,0,0,0,0
Satb2,8.228,0,0.008,0.479,0,0.086,0.056,0,0
9130024F11Rik,1.944,0,0,0.042,0,0,0,0.02,0.02
BC055402,0,0,0,0,0,0,0,0,0
4930558J18Rik,1.514,0.028,0,5.706,4.85,1.322,1.725,0.62,0.62
1700066M21Rik,10.085,1.747,0.53,5.104,9.101,8.868,4.904,9.608,9.608
Tyw5,27.982,8.432,3.583,36.42,18.743,17.602,25.433,8.849,8.849
9430016H08Rik,36.062,3.922,2.253,60.602,28.79,32.066,37.618,26.099,26.099
Spats2l,12.288,0.385,0.222,3.775,13.839,0.112,0.219,0.259,0.259
Kctd18,12.125,12.95,6.03,12.794,37.778,11.577,13.382,11.366,11.366
Sgol2a,25.457,0.298,0.249,61.597,24.499,10.599,4.139,9.868,9.868
Aox1,1.992,0,0,0.379,0,0,0,0,0
Aox3,0.339,0.013,0,0.236,0,0,0,0,0
Aox4,0,0,0,0.636,0,0,0,0,0
Aox2,0,0.097,0.086,0,0.087,0,0.124,0.031,0.031
Bzw1,448.287,92.323,44.605,868.351,197.736,260.057,95.883,275.494,275.494
Clk1,33.39,138.211,71.858,45.935,432.504,145.199,104.202,57.884,57.884
Ppil3,30.565,10.196,5.64,63.49,44.313,45.084,58.237,29.141,29.141
Nif3l1,35.824,11.844,5.787,137.487,21.658,16.526,57.279,29.109,29.109
Orc2,50.806,10.426,5.007,196.345,42.85,50.771,33.709,33.863,33.863
Fam126b,11.756,4.217,1.853,5.441,7.964,4.367,0.644,4.313,4.313
Ndufb3,65.624,21.163,16.988,147.962,231.484,241.288,178.514,181.641,181.641
Gm20257,2.845,6.169,3.189,0.085,2.658,15.453,5.987,6.877,6.877
Als2cr12,1.033,0.147,0.052,0.05,0,0,0.187,0,0
Cflar,39.303,23.739,9.685,3.183,45.526,26.193,8.051,23.857,23.857
Casp8,42.595,68.714,30.378,3.199,52.458,171.859,237.845,146.624,146.624
Trak2,50.804,18.885,10.204,22.022,83.461,19.123,10.777,22.132,22.132
Stradb,11.748,4.436,1.836,10.004,36.149,9.169,14.384,16.25,16.25
Als2cr11,0,0.027,0,0.037,0,0,0,0,0
Tmem237,26.631,1.23,1.576,50.508,5.467,20.858,15.854,9.299,9.299
Mpp4,0.24,0.206,0.132,0.051,2.552,0,0.191,0.048,0.048
Als2,16.449,3.485,1.729,42.259,35.361,10.618,8.524,4.646,4.646
Cdk15,0.1,0,0,0.268,1.123,0.612,2.796,0,0
Fzd7,157.899,0.072,0.051,137.79,1.638,7.331,3.68,0.156,0.156
Gm973,0.082,0.161,0.046,0.594,0.231,0.126,0.492,0,0
Sumo1,49.676,15.777,10.535,433.19,77.81,157.731,72.581,210.569,210.569
Nop58,378.29,35.209,27.153,756.24,193.683,314.059,57.763,127.77,127.77
Snord70,8.374,1431.458,2887.355,11.941,0,8.528,0,0,0
Snord11,2.348,1540.587,2035.023,2.511,0,0,0,0,0
Bmpr2,85.381,0.677,0.218,8.984,2.955,1.549,0.798,11.477,11.477
Fam117b,27.961,7.888,3.621,29.835,19.481,17.642,9.327,23.508,23.508
Ica1l,20.832,0.823,0.437,0.217,3.522,1.238,2.424,0.123,0.123
Wdr12,27.08,17.633,7.656,155.996,89.291,42.709,38.964,29.577,29.577
Carf,4.727,2.364,0.841,2.105,14.039,1.249,0.306,1.733,1.733
Nbeal1,26.549,3.901,2.047,4.521,8.87,3.696,0.365,3.505,3.505
Cyp20a1,110.481,7.385,1.989,35.418,8.84,25.596,15.523,29.173,29.173
Abi2,28.997,2.059,0.924,47.779,5.483,13.77,7.405,11.74,11.74
Raph1,107.075,0.361,0.045,15.845,1.91,6.346,6.341,3.054,3.054
Cd28,0.24,82.614,16.644,0.055,120.254,135.9,162.533,100.079,100.079
Ctla4,0,3.704,3.131,0,10.511,851.134,734.518,582.663,582.663
Icos,0.364,15.822,8.782,0,8.917,865.376,445.621,65.009,65.009
9530026F06Rik,0,0,0,0,0,0,0,0,0
Pard3b,2.433,0.014,0,0.113,0.346,0.108,0,0.232,0.232
Nrp2,22.184,0.142,0.639,16.286,0.051,6.622,0.436,0.184,0.184
4930487H11Rik,0.661,0,0,0.177,0,0.505,0,0,0
Ino80d,15.636,4.221,1.533,8.42,56.731,8.452,2.049,11.027,11.027
Ino80dos,1.642,1.826,0.454,0.922,11.045,1.756,0.327,0.955,0.955
Ndufs1,81.724,39.827,21.377,160.033,102.28,82.769,60.559,58.203,58.203
Eef1b2,591.498,336.121,227.134,2052.427,462.052,1578.105,2143.59,1181.976,1181.976
Snora41,3.927,385.258,167.924,22.403,14.678,43.999,23.49,3.312,3.312
Gpr1,5.677,1.509,0.637,0.396,0.231,0,0,0,0
Zdbf2,13.939,0,0.003,41.833,0,0,0,0,0
Adam23,17.876,0,0,27.528,0,0,0.214,0,0
Dytn,0,0,0,0,0,0,0,0,0
Mdh1b,0,0,0,0.277,0,0,0,0,0
Fastkd2,20.632,7.404,4.185,65.461,11.902,14.526,16.564,11.047,11.047
4933402D24Rik,0.337,0.395,0.14,0.18,0,0.257,0,0.043,0.043
Gm13749,0,0,0,0,0,0,0,0,0
Mir1958,0,0,0,0,0,0,0,0,0
Klf7,62.118,13.181,7.928,11.073,86.902,14.209,27.154,18.097,18.097
Mir6899,0,0,0,0,0,0,0,0,0
Creb1,20.026,20.775,12.728,28.137,114.531,23.08,10.542,26.71,26.71
Mettl21a,15.981,7.45,3.16,16.291,9.487,15.598,16.816,11.371,11.371
2810408I11Rik,26.557,0.972,1.147,24.188,15.702,13.312,55.43,3.989,3.989
Ccnyl1,85.017,1.046,1.146,34.728,3.119,3.4,3.932,3.071,3.071
Fzd5,17.16,0.919,0.887,42.336,3.538,1.046,0.299,0.942,0.942
Plekhm3,10.263,2.279,0.65,6.246,3.39,1.584,1.963,2.404,2.404
Akr1cl,0,0,0,0.234,0,0,0,0,0
Cryge,0,0,0,0.493,0,0,0,0,0
Crygd,0,0,0,0.748,0,0,0,0,0
Crygc,0,0,0,0,0,0,0,0,0
Crygb,0,0,0,0.25,0,0,0,0,0
Cryga,0,0,0,1.672,0,0,0.48,0,0
D630023F18Rik,0,0,0,9.907,0,0.339,0.332,0,0
Idh1,58.797,5.044,2.265,133.074,29.593,17.242,11.856,13.355,13.355
Pikfyve,16.824,10.701,4.197,13.355,17.61,9.116,2.28,7.222,7.222
Pth2r,0,0,0,0.131,0,0,0,0,0
Crygf,0,0,0,0,0,0,0,0,0
Map2,4.341,0.167,0.007,2.58,0,0.328,0.855,0.027,0.027
Unc80,0,0.021,0.006,0.134,0,0.134,0.087,0,0
Rpe,54.898,12.799,8.148,89.158,38.627,48.464,24.671,51.827,51.827
Kansl1l,3.636,6.368,2.096,2.377,65.42,1.519,0.991,8.067,8.067
Acadl,96.596,3.468,1.973,31.311,67.689,138.288,261.022,91.066,91.066
Myl1,0,0,0,0.214,0,0,0,0,0
Lancl1,6.898,11.325,6.06,26.973,39.039,15.806,36.693,13.893,13.893
Cps1,0,0,0,0.868,0,0,0,0,0
Erbb4,0.313,0,0,0,0,0,0,0,0
Ikzf2,15.263,0.858,2.37,0.319,19.762,0.528,0.063,18.703,18.703
Spag16,0,0,0,1.455,0.17,0,0,0,0
Vwc2l,0,0,0,0,0,0,0,0,0
Bard1,9.694,0.858,0.608,23.684,28.769,15.514,9.257,10.799,10.799
Abca12,0.018,0,0,0.01,0,0,0,0,0
Atic,237.167,58.379,34.27,566.715,151.661,173.283,6.1,175.589,175.589
Fn1,5234.422,0.041,0.015,375.367,0.049,0.751,1.575,0.009,0.009
Apol7d,0.496,0,0,0.398,0,0,0,0,0
Gm8883,0,0,0,0,0,0,0,0,0
4933417E11Rik,0,0,0,0,0,0,0,0,0
Mreg,1.305,0,0,301.054,0.166,0.725,0.118,0.03,0.03
Pecr,17.103,0.585,0.311,56.68,2.799,3.433,13.191,1.453,1.453
Tmem169,0.263,0,0,0.759,0,0,0,0,0
Xrcc5,22.803,17.507,8.624,206.661,38.447,19.629,26.77,45.508,45.508
March4,0,0,0,0,0,0,0,0,0
Smarcal1,8.041,6.887,2.716,22.396,23.403,11.174,12.825,16.475,16.475
Ankar,0,0,0,0.017,0,0.198,0.129,0,0
Rpl37a,124.031,156.127,244.189,2374.813,49.363,1456.666,318.511,2948.224,2948.224
Igfbp2,123.63,0,0,461.014,0,0,0,0,0
Igfbp5,47.028,0,0,1.095,0.071,0,0,0,0
Tnp1,0,0,0,0,0,0,0,0,0
